global_target_layer,current_layer,layer_status,skip_reason,layer_iter,loss_before_iter,loss_after_iter,grad_norm,max_abs_grad,accepted,rejected,lr_used
4,1,skipped,first_or_last_layer_bar_fixed,,,,,,,,
4,2,optimized,,0,0.0084524654203891,0.00839910156844465,0.09791386591308306,0.0721860717215456,True,True,0.02
4,2,optimized,,1,0.008410527921971911,0.008297504097490102,0.09644214916182854,0.07099925016016587,True,True,0.01
4,2,optimized,,2,0.008298051115204442,0.008134885202839724,0.09441724954003927,0.06983916501644404,True,True,0.01
4,2,optimized,,3,0.008112745582756743,0.008005107524653044,0.09184266811757169,0.06787666314618813,True,True,0.01
4,2,optimized,,4,0.007993084461693452,0.007900274564948481,0.09133916551082526,0.06794847720408166,True,True,0.02
4,2,optimized,,5,0.007890135168604928,0.007764390596372247,0.08957047696902203,0.06669985415984077,True,True,0.01
4,2,optimized,,6,0.2332021062341393,0.0076431675351216095,0.08734128365730434,0.06471154755414005,True,True,0.02
4,2,optimized,,7,0.007646129990161492,0.007491180543008403,0.08594571122815745,0.06433273135150555,True,True,0.01
4,2,optimized,,8,0.007488562734575474,0.007362343998242511,0.08347541430878896,0.06266283555481428,True,True,0.01
4,2,optimized,,9,0.0073503844350281105,0.0072253297921401225,0.0810621069890024,0.06116183910015064,True,True,0.02
4,2,optimized,,10,0.007225988259340796,0.0071330891258429945,0.07966628890959702,0.05960775141379528,True,True,0.02
4,3,optimized,,0,0.051858368436256186,0.04926492503458951,0.36558969576175954,0.22188661717719801,True,False,0.02
4,3,optimized,,1,0.049294077061678675,0.04688220962220558,0.3532151661131735,0.21951517537569454,True,False,0.02
4,3,optimized,,2,0.04694148211278453,0.0435619863837063,1.7681215126286045,1.736052777745657,True,False,0.01
4,3,optimized,,3,0.04342859657572176,0.04135691763747456,3.332184854263426,3.3157817945457255,True,False,0.01
4,3,optimized,,4,0.04127660514761498,0.03950980592504622,0.3238310671432291,0.2121632417244288,True,True,0.01
4,3,optimized,,5,0.039419685212896224,0.03762844611702031,0.31794852646198946,0.20744522492255416,True,True,0.01
4,3,optimized,,6,0.037517424907108146,0.04286422177096745,0.3108134398242673,0.2052428309683118,True,True,0.01
4,3,optimized,,7,0.036005978976833074,0.03405226014167114,0.31922456755492346,0.19808140117586207,True,True,0.02
4,3,optimized,,8,0.03406565684796667,0.0322171550031636,0.29466466644116796,0.19324343399574673,True,True,0.02
4,3,optimized,,9,0.032289452582507296,0.029866553611128985,0.26380378918908765,0.1823201204220697,True,True,0.02
4,3,optimized,,10,0.029896125598996827,0.028466497672003613,0.2680886257036957,0.17401979687223865,True,False,0.01
4,3,optimized,,11,0.028521828866665704,0.02697692679613044,0.26036957789855003,0.16987622978470932,True,True,0.01
4,3,optimized,,12,0.027096043512328985,0.025865594283953835,0.24974206855195558,0.16177770355453075,True,True,0.02
4,3,optimized,,13,0.025840860367695194,0.024659103633332104,0.23948530989368882,0.15348110921249647,True,True,0.02
4,3,optimized,,14,0.024602407552918627,0.023602415689319242,0.22753562696911822,0.14747438052132827,True,True,0.02
4,4,optimized,,0,0.03188260244945035,0.03125634527325713,0.14508901302136754,0.096161828910859,True,True,0.01
4,4,optimized,,1,0.031318308371507855,0.03081280159211192,0.15658993147676592,0.08774960832099189,True,True,0.01
4,4,optimized,,2,0.030756576776776845,0.030521838711986823,0.1280242523043232,0.08568581321608189,True,True,0.02
